run,AMP,AMC,FOX,CRO,TIO,GEN,FIS,SXT,AZM,CHL,CIP,NAL,TET
SRR2407593,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,<=0.2500,32.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407756,<=1.0000,<=1.0000,<=1.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407797,<=1.0000,2.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407683,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407796,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,<=16.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407731,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,<=16.0000,<=0.1250,8.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407552,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,<=0.2500,<=16.0000,<=0.1250,8.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407584,>=32.0000,16.0000,4.0000,<=0.2500,1.0000,<=0.2500,64.0000,<=0.1250,4.0000,8.0000,0.0300,4.0000,<=4.0000
SRR2566866,>=32.0000,>=32.0000,>=32.0000,32.0000,>=8.0000,<=0.2500,32.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,<=4.0000
SRR2567096,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,0.5000,32.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,<=4.0000
SRR3665168,>=32.0000,>=32.0000,>=32.0000,>=64.0000,>=8.0000,2.0000,32.0000,32.0000,4.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407649,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407715,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407586,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407602,2.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407690,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407547,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,>=256.0000,<=0.1250,2.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407568,<=1.0000,<=1.0000,4.0000,<=0.2500,0.5000,0.5000,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407644,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407558,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407581,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407723,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407666,<=1.0000,<=1.0000,2.0000,<=0.2500,0.5000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407654,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,8.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407689,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,4.0000,>=32.0000
SRR2407569,<=1.0000,<=1.0000,4.0000,<=0.2500,0.5000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,4.0000,>=32.0000
SRR2407603,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,4.0000,0.0300,4.0000,>=32.0000
SRR2407761,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,4.0000,8.0000,0.0300,4.0000,>=32.0000
SRR3665097,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,8.0000,4.0000,4.0000,<=0.0150,4.0000,>=32.0000
SRR2407663,<=1.0000,<=1.0000,2.0000,<=0.2500,1.0000,0.5000,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407605,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407631,<=1.0000,<=1.0000,8.0000,<=0.2500,1.0000,<=0.2500,>=256.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407688,<=1.0000,<=1.0000,4.0000,<=0.2500,1.0000,0.5000,32.0000,<=0.1250,8.0000,8.0000,0.5000,16.0000,>=32.0000
SRR3665160,>=32.0000,8.0000,4.0000,<=0.2500,1.0000,0.5000,32.0000,8.0000,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR2407551,>=32.0000,8.0000,4.0000,<=0.2500,1.0000,0.5000,64.0000,<=0.1250,4.0000,8.0000,<=0.0150,2.0000,>=32.0000
SRR3665218,>=32.0000,8.0000,4.0000,<=0.2500,1.0000,0.5000,64.0000,8.0000,4.0000,8.0000,<=0.0150,4.0000,>=32.0000
SRR2407779,>=32.0000,16.0000,2.0000,<=0.2500,1.0000,<=0.2500,32.0000,<=0.1250,4.0000,8.0000,<=0.0150,4.0000,<=4.0000
SRR2407574,<=1.0000,<=1.0000,<=1.0000,<=0.2500,0.5000,0.5000,<=16.0000,<=0.1250,4.0000,4.0000,<=0.0150,2.0000,>=32.0000
SRR2407612,>=32.0000,>=32.0000,>=32.0000,8.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,8.0000,4.0000,0.0300,2.0000,>=32.0000
SRR2407708,>=32.0000,>=32.0000,>=32.0000,16.0000,>=8.0000,<=0.2500,>=256.0000,<=0.1250,8.0000,8.0000,0.0300,2.0000,>=32.0000
